            x0         x1
0    38.411274  93.293735
1   -95.988876 -52.766313
2   -28.361709  -1.871694
3   -62.506055  47.887988
4   -37.257555 -14.505809
5    97.718038  18.416516
6    10.496972  54.913574
7    67.310593  34.755177
8   -34.818989   3.653208
9    83.967335 -42.780540
10  -27.922472 -68.805127
11  -53.354986  17.025131
12  -19.445196 -88.488431
13   49.708033  89.834463
14   91.761452 -85.974258
15   11.240505  94.728904
16  -82.386131  78.226573
17  -29.062331 -33.790987
18  -81.897564 -31.198536
19  -92.843461  -0.907649
20  -93.812041  52.415788
21   38.044010  10.841810
22   50.214643  59.220540
23  -35.260661 -69.036086
24  -44.857402  27.260683
25  -65.934971  15.298484
26  -13.815689 -35.447359
27  -95.490979  40.353490
28  -99.045115  26.508766
29  -48.386522 -53.374054
30    5.800190  19.719956
31  -28.474025  53.108637
32  -85.627249  67.310239
33   77.652479   1.801618
34   92.287148 -32.668128
35  -75.021803 -41.029334
36  -84.837274  94.259664
37  -66.898487  40.084551
38   93.422212  56.193611
39   -1.850004 -23.807911
40   67.620355 -91.934873
41   18.562367 -79.324350
42   91.369852  21.143928
43   36.146397  82.840776
44   -8.599901  96.537122
45   21.175528 -91.210433
46  -51.580309  27.810753
47   39.410331 -76.944198
48   74.753840  51.306978
49  -97.852469 -29.102587
50   47.954879  39.650264
51   99.354598  56.875162
52    7.808006  19.406653
53  -89.490437 -83.340351
54   41.072413 -76.197175
55   13.812452 -81.040454
56  -33.857464  51.829199
57  -22.966870  24.852630
58  -80.454625 -11.166035
59  -32.964302  -2.589123
60  -37.091990  88.537942
61  -45.529198  96.382497
62  -39.832823 -86.026577
63   96.996270  57.149647
64   24.537438 -23.667517
65   37.607182 -88.722800
66   54.353416 -22.607169
67  -14.495981 -23.568094
68   49.133652  19.803762
69  -24.704170  15.079136
70   57.047422 -73.873317
71  -43.098354  64.210918
72   64.468797 -24.705750
73   58.964506   9.332225
74   36.720503  42.597118
75  -98.233216  36.764710
76  -12.724994 -46.618834
77   17.757179  77.313007
78   58.712735   7.277463
79   48.887400  72.926523
80   56.974820  15.449694
81  -87.503068 -88.332763
82   27.313606  19.333141
83  -40.717833  99.308808
84  -47.049560 -44.871210
85   73.475868 -77.706797
86  -94.668939 -13.410217
87   45.376201  95.120754
88  -41.914697 -28.394506
89  -56.341975   0.036609
90    1.206523  45.553802
91  -96.827582 -34.395379
92   64.704290  -2.613839
93   38.391679 -62.561041
94   80.078261 -53.564619
95  -65.568584 -10.549593
96   40.056967 -75.125237
97    3.416349  71.852262
98  -63.831830  62.337740
99  -75.949781  39.335832
100 -18.030590 -78.780389
101 -51.222924 -36.435341
102 -81.757112  32.361544
103  87.308463  74.344280
104  74.341489  25.423835
105 -53.712523 -19.826991
106  84.931304 -36.877762
107  95.725223   5.727424
108   9.604795   6.368165
109 -70.826962 -83.835843
110   9.926197 -40.249759
111  43.423365 -32.941178
112  36.954471 -21.340604
113  66.654228  60.232135
114 -13.107691  52.804143
115 -93.543288  90.030567
116  19.839038  27.716767
117 -75.425545 -97.216467
118  42.475052 -85.284937
119 -72.625345  95.687442
120  15.091609  18.721975
121  14.199831  -6.405340
122 -76.656471 -10.977045
123 -52.968722 -87.094717
124 -31.794620 -20.344309
125 -39.784790 -14.367385
126 -53.135996 -65.169879
127  79.067430 -76.214300
128  77.993676 -58.607775
129  54.129985  39.475620
130  65.215500  10.306397
131  82.710251 -98.540200
132  76.209497  68.487445
133 -97.106115 -67.502954
134  90.830644  63.067086
135  34.907340  32.996900
136 -93.710547   2.286511
137 -50.371641 -75.259750
138 -20.265842  14.367739
139  75.745880 -25.176086
140 -18.759125  48.645541
141 -17.125864 -29.931258
142 -27.061446  -2.175495
143  81.170854 -55.396472
144 -96.368219  -5.562222
145   5.661104  54.226619
146 -66.149767 -20.848327
147  31.622522  48.076183
148 -64.641777 -49.660522
149  -5.107806 -45.452017
150 -23.556513  43.297813
151  -6.646774 -18.244023
152 -68.503051 -37.931601
153  61.398905 -93.003882
154 -88.544600  74.658322
155 -10.168966 -46.211850
156  63.506281  29.043349
157 -15.945337  -3.156455
158  95.904635  27.059967
159 -10.400112 -70.230124
160  -7.391053 -51.268286
161 -17.406557 -16.317644
162 -89.373496 -51.838833
163  82.110675  55.118147
164 -39.525057  48.958539
165  60.640125  32.708066
166  -6.479305  73.526785
167   2.312498  46.355436
168  24.151258 -46.123283
169 -51.813837   7.458687
170 -30.219608 -78.886749
171 -42.761031 -32.395851
172 -77.072294 -49.867702
173 -75.370247 -23.025941
174 -50.036363 -65.680152
175 -31.190132 -45.879855
176 -13.674016 -89.110015
177  -2.385528  85.544213
178  71.199672  87.432630
179  43.773191  37.624597
180  61.140955 -58.382972
181 -26.889251  -6.669728
182  79.943201 -84.199574
183  67.972560 -78.281646
184 -90.361855  30.887179
185 -21.964027  -3.689714
186  69.260291 -90.101376
187  -0.783022  35.369412
188  31.206766 -64.142178
189 -32.545891  31.324435
190 -44.506963  26.052929
191  92.455216 -80.425673
192 -11.085566  67.430621
193 -47.239088  21.663373
194 -34.022295  -3.294901
195 -53.435722 -17.736884
196  -0.577435  64.693820
197 -83.781068 -20.563019
198  50.169561  -3.844618
199 -56.439355  20.154750
200  93.880137 -37.142088
201  13.147821 -61.738280
202 -59.156116 -99.290310
203 -59.318109  36.464982
204  56.344798  11.596685
205  59.694367   7.629887
206 -76.950540 -82.383420
207 -20.983075 -65.555168
208  75.128464  93.676024
209   9.470028 -44.107991
210  32.431510 -92.175211
211 -29.784708 -55.182143
212  19.574668  -5.650463
213 -80.827216 -15.641788
214 -76.512031 -10.350837
215  22.900464  44.440348
216  -3.916048   1.634766
217  56.761152  55.770991
218  20.037606   7.007643
219 -67.301852 -69.669972
220 -31.862880 -38.932301
221  97.356541 -20.047030
222  -7.909624  46.977556
223 -39.009224  33.982495
224 -79.647111 -73.335880
225  -1.749541  48.357992
226  68.377324 -84.774018
227   3.158242  47.128579
228 -14.040831  28.114560
229  32.348736 -58.897285
230 -32.289843 -57.522931
231 -23.196011  90.991159
232  66.917706 -97.740063
233 -69.452608  57.754893
234 -69.265781 -30.370869
235 -84.459880  67.843695
236  76.748963 -21.935403
237   2.937779  84.482857
238 -70.031360 -59.941911
239 -99.943132 -38.266654
240 -18.580642  38.058144
241   4.140694  -4.707500
